video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,634.560059,226.146484,,,,0.026000,
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,645.113586,215.680145,,,,0.025000,
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,630.556091,218.991943,,,,0.025000,
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,667.918152,223.643646,,,,0.035000,
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,623.065125,226.164230,,,,0.035000,
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,5,left_shoulder,1,1,2.000000,703.730000,279.470000,2.000000,700.872803,277.073792,3.728993,40.972164,1,0.079000,0.973804
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,6,right_shoulder,1,1,2.000000,620.920000,279.880000,2.000000,597.570435,279.134735,23.361456,40.972164,1,0.079000,0.352808
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,7,left_elbow,1,1,2.000000,704.290000,349.920000,2.000000,720.234009,348.098816,16.047683,40.972164,1,0.072000,0.553303
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,8,right_elbow,1,1,2.000000,603.280000,348.710000,2.000000,595.523193,335.640259,15.198230,40.972164,1,0.072000,0.588104
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,9,left_wrist,1,1,2.000000,689.360000,415.120000,2.000000,718.621826,404.902100,30.994515,40.972164,1,0.062000,0.050925
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,10,right_wrist,1,1,2.000000,591.350000,412.440000,2.000000,609.580566,399.192596,22.535467,40.972164,1,0.062000,0.207217
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,11,left_hip,1,1,2.000000,682.320000,417.420000,2.000000,693.204285,409.527771,13.444513,40.972164,1,0.107000,0.828537
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,12,right_hip,1,1,2.000000,636.560000,418.980000,2.000000,609.280884,409.670380,28.823935,40.972164,1,0.107000,0.421240
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,13,left_knee,1,1,2.000000,693.660000,532.450000,2.000000,697.308228,522.153992,10.923248,40.972164,1,0.087000,0.828773
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,14,right_knee,1,1,2.000000,641.810000,529.610000,2.000000,646.299744,521.617188,9.167489,40.972164,1,0.087000,0.876090
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,15,left_ankle,1,1,2.000000,706.460000,644.060000,2.000000,713.131165,638.992554,8.377556,40.972164,1,0.089000,0.899819
MP_T_Jongkok_2,movenet,0,0.000000,ok,1,direct,0.413003,16,right_ankle,1,1,2.000000,654.200000,642.150000,2.000000,658.273376,633.139099,9.888818,40.972164,1,0.089000,0.863223
